neuron,smp-2,nrx-1,plx-1,unc-6,unc-129,syg-1,efn-3,cdh-3,cdh-4,syg-2,mig-1,vab-2,nlg-1,rig-3,cfz-2,syd-2,efn-4,slt-1,sax-3,mom-5,egl-20,sax-7,smp-1,nid-1,mig-5,lin-44,vab-1,unc-40,hmr-1,lin-17,efn-2,rig-6,unc-5,plx-2
RIVR,-0.35832995,3.285695,-0.5863807,-0.09467341,-0.22552651,2.9026608,0.0,-0.8491572,0.5929776,-0.4932822,5.4467196,-0.12977605,-0.29980138,-0.23795438,0.02386074,0.66193014,-0.6505479,0.16506442,-0.27259344,0.10179684,0.29496923,0.33934215,1.0615987,-0.6839314,-0.9312882,-0.29439822,-0.7832925,0.3586002,-0.77116483,0.50216377,3.801522,-0.96725035,1.3650256,-0.0698336
RMDDL,-0.35832995,1.0539514,1.2254034,0.11497547,-0.40909505,0.79531753,0.0,1.2390088,0.91036224,2.493898,1.1249044,-0.4148255,0.7636103,1.2689365,0.6194942,0.34893143,0.19991142,-0.26408654,0.54412794,-0.27212125,-0.15184641,-0.62294286,-0.14529815,-0.3593252,-0.44378543,0.19806671,-0.06085333,-0.29968727,1.3923177,0.43537942,0.47309813,0.745861,1.1849531,0.66323346
RMDDR,-0.35832995,1.0539514,1.2254034,0.11497547,-0.40909505,0.79531753,0.0,1.2390088,0.91036224,2.493898,1.1249044,-0.4148255,0.7636103,1.2689365,0.6194942,0.34893143,0.19991142,-0.26408654,0.54412794,-0.27212125,-0.15184641,-0.62294286,-0.14529815,-0.3593252,-0.44378543,0.19806671,-0.06085333,-0.29968727,1.3923177,0.43537942,0.47309813,0.745861,1.1849531,0.66323346
RMDL,-0.35832995,1.0539514,1.2254034,0.11497547,-0.40909505,0.79531753,0.0,1.2390088,0.91036224,2.493898,1.1249044,-0.4148255,0.7636103,1.2689365,0.6194942,0.34893143,0.19991142,-0.26408654,0.54412794,-0.27212125,-0.15184641,-0.62294286,-0.14529815,-0.3593252,-0.44378543,0.19806671,-0.06085333,-0.29968727,1.3923177,0.43537942,0.47309813,0.745861,1.1849531,0.66323346
RMDR,-0.35832995,1.0539514,1.2254034,0.11497547,-0.40909505,0.79531753,0.0,1.2390088,0.91036224,2.493898,1.1249044,-0.4148255,0.7636103,1.2689365,0.6194942,0.34893143,0.19991142,-0.26408654,0.54412794,-0.27212125,-0.15184641,-0.62294286,-0.14529815,-0.3593252,-0.44378543,0.19806671,-0.06085333,-0.29968727,1.3923177,0.43537942,0.47309813,0.745861,1.1849531,0.66323346
RMDVL,-0.35832995,1.0539514,1.2254034,0.11497547,-0.40909505,0.79531753,0.0,1.2390088,0.91036224,2.493898,1.1249044,-0.4148255,0.7636103,1.2689365,0.6194942,0.34893143,0.19991142,-0.26408654,0.54412794,-0.27212125,-0.15184641,-0.62294286,-0.14529815,-0.3593252,-0.44378543,0.19806671,-0.06085333,-0.29968727,1.3923177,0.43537942,0.47309813,0.745861,1.1849531,0.66323346
RMDVR,-0.35832995,1.0539514,1.2254034,0.11497547,-0.40909505,0.79531753,0.0,1.2390088,0.91036224,2.493898,1.1249044,-0.4148255,0.7636103,1.2689365,0.6194942,0.34893143,0.19991142,-0.26408654,0.54412794,-0.27212125,-0.15184641,-0.62294286,-0.14529815,-0.3593252,-0.44378543,0.19806671,-0.06085333,-0.29968727,1.3923177,0.43537942,0.47309813,0.745861,1.1849531,0.66323346
RMED,-0.35832995,-0.70146406,-0.5863807,-0.45986825,-0.45785543,-0.92702967,0.0,-0.8491572,6.7915087,1.6331859,-0.8607938,0.63292384,-0.36898717,-0.81302226,7.181446,1.1675434,9.190482,-0.26408654,6.589675,-0.90778196,-0.15184641,0.028803984,-0.6998183,0.31363887,-0.9312882,-0.29439822,-1.0766135,7.650399,4.0510583,-0.6999541,0.6435296,-0.96725035,-0.703889,-0.121783234
RMEL,-0.35832995,1.8752977,0.51084924,0.5555098,-0.16255891,0.01173011,0.0,-0.32223687,-0.15664425,-0.60145104,0.7426112,-0.34750518,-0.33601078,-0.74449784,1.3908358,-0.15218163,-0.55857575,1.2700279,0.8065204,0.054620203,0.061121788,-1.237534,0.13973545,-0.3882564,0.17584418,-0.045864522,0.4612664,-0.011952707,-0.44229376,0.01626092,-0.07323769,0.7618716,-0.16152406,-0.85636085
RMER,-0.35832995,1.8752977,0.51084924,0.5555098,-0.16255891,0.01173011,0.0,-0.32223687,-0.15664425,-0.60145104,0.7426112,-0.34750518,-0.33601078,-0.74449784,1.3908358,-0.15218163,-0.55857575,1.2700279,0.8065204,0.054620203,0.061121788,-1.237534,0.13973545,-0.3882564,0.17584418,-0.045864522,0.4612664,-0.011952707,-0.44229376,0.01626092,-0.07323769,0.7618716,-0.16152406,-0.85636085
